id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0],additional_image_link
18645L,Copo Térmico 473 ml c/ Tampa,"Copo térmico de inox com acabamento liso e capacidade 500ml, material livre de BPA. Contém tampa com abridor.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/categoria/copos,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/4a3c9692-5827-4d79-b123-1de30a77b36b.png,Gift Web,,,999,,,,,,,,,,,,,,,,,copos-cafe-cerveja,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/18645l/18645l_2.jpg
14726L,Copo Térmico Cuia 350 ml,"Copo térmico de capacidade de 320ml, feito em inox, com parede dupla e tampa plástica (livre de BPA) com bocal para um consumo mais rápido e prático.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/categoria/copos,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14726L-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,copos,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14726L-2-v1.jpg
18749,Copo Térmico 400 ml c/ Caixa de Som,"Copo térmico de inox com caixa de som e capacidade 400ml. Contém tampa com abridor. Caixa de som bluetooth com botão para ligar/desligar, botões para aumentar diminuir volume/ avançar e retroceder faixas. Acompanha cabo USB Tipo-C. Obs.: A caixa de som não é a prova dágua, para a higienização do copo é necessário desrosquear a caixa de som para remove-la.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/copo-termico-400ml-c-caixa-de-som-18749-vm,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18749-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,copos,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18749-2-v1.jpg
04080,Copo Térmico Inox 473 ml (linha alternativa),Copo térmico de inox com capacidade para 473ml.,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/copo-termico-de-inox-473ml-04080-azu,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/04080-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,copos,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/04080-2-v1.jpg
13803N,Sacola de Algodão,Sacola de algodão com alças costuradas na parte interna.,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/categoria/sacolas,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/13803N-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,sacolas,,,
15452N,Sacola TNT Metalizada,"Sacola confeccionada em TNT com revestimento externo metalizado, costura termo-selada e duas alças.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/sacola-tnt-metalizado-15452n-vm,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/15452N-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,sacolas,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/15452N-2-v1.jpg
18601,Sacochila em Poliéster,"Mochila saco em poliéster resistente à água com alças ajustáveis em nylon, bolso frontal com fechamento em zíper e entrada para fones de ouvido.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/sacochila-poliester-18601-vd,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/18601/18601_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,mochilas-bolsa-necessaire,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/18601/18601_2.jpg
18845,Sacola de Lona,"Resistência e design minimalista. Nossa sacola de lona é a escolha ideal para quem busca robustez com estilo moderno. Com alças reforçadas e estrutura de 474g/m², essa sacola oferece ampla profundidade, perfeita para transportar diversos itens sem comprometer a resistência.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/sacola-de-lona-18845-vd,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18845-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,sacolas,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18845-2-v1.jpg
04399,Sacola de Algodão (linha 04399),Sacola de algodão 300g/m² com alças costuradas na parte interna.,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/sacola-de-algodao-04399-beg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04399/04399_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,sacola-tnt-algodao,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04399/04399_2.jpg
02082N,Sacola de TNT sem Alça,Sacola de tnt sem alça com costura termo selada.,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/categoria/sacolas,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/02082N/02082N_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,sacola-tnt-algodao,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/02082N/02082N_2.jpg
18505,Sacochila TNT,Sacochila TNT — Sacochilas e Sacolas,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/sacochila-tnt-18505-vd,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18505-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,mochilas-e-sacochilas,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18505-2-v1.jpg
18986,Boné Poliéster Aba Curva,Boné de aba curva confeccionado em poliéster e tela respirável em nylon. Possui fecho plástico de fácil ajuste na parte posterior.,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/bone-poliester-aba-curva-com-tela-18986-vd,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18986-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,outros,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18986-2-v1.jpg
sem-sku-camiseta-100-algodao-fio-30-1,Camiseta 100% Algodão (fio 30.1),Camiseta 100% Algodão (fio 30.1) — Camisetas e Uniformes,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produtos,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/sem-sku-camiseta-100-algodao-fio-30-1-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/sem-sku-camiseta-100-algodao-fio-30-1-2-v1.jpg
sem-sku-camisa-gola-polo-masc-e-fem,Camisa Gola Polo (masc. e fem.),Camisa Gola Polo (masc. e fem.) — Camisetas e Uniformes,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produtos,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/sem-sku-camisa-gola-polo-masc-e-fem-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/sem-sku-camisa-gola-polo-masc-e-fem-2-v1.jpg
sem-sku-camiseta-dry-fit,Camiseta Dry Fit,Camiseta Dry Fit — Camisetas e Uniformes,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produtos,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/sem-sku-camiseta-dry-fit-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/sem-sku-camiseta-dry-fit-2-v1.jpg
14092N,Caderneta Moleskine c/ Pauta,"Caderneta emborrachada com porta caneta elástico em nylon, marcador de página em cetim e fita elástica de nylon para fechar. Contém aproximadamente 80 folhas pardas pautadas.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/categoria/cadernetas,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14092N-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,cadernetas,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14092N-2-v1.jpg
08203,Caderno Fichário PU,"Organize todas as anotações de forma prática com o nosso caderno fichário em PU. Com um design super elegante, ele tem capa dura no formato A5 e um fechamento de fivela imantado que protege as 119 folhas em papel marfim. Os seis anéis permitem retirar e reorganizar as folhas sempre que precisarem, deixando tudo do seu jeito. E para completar, a primeira folha traz um espaço especial para dados pessoais. Esse caderno fichário é a escolha perfeita para manter tudo organizado e com muita sofisticação.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/caderno-fichario-pu-08203-vd,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08203-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,cadernos,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08203-2-v1.jpg
07050,Kit para Anotações c/ Caneta,"Para quem busca registrar anotações de forma prática e acessível, nosso Kit para Anotações com Caneta é a escolha perfeita. Com aproximadamente 112 folhas amarelas pautadas e feito em couro sintético, o kit vem acompanhado de uma caneta metálica com carga esferográfica azul e um porta-caneta que também serve como fecho para o kit. Além disso, conta com um compartimento na parte de trás para cartões ou documentos. Prático e funcional na hora de organizar seus planejamentos!",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/kit-para-anotacoes-com-caneta-07050-vm,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/07050-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,canetas,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/07050-2-v1.jpg
05071,Caderno A5 Plástico,"Caderno A5 plástico com wire-o metálico. Capa em PP, contém aproximadamente 80 folhas brancas com pauta.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/caderno-a5-plastico-05071-vm,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/05071/05071_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,caderneta-caneta,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/05071/05071_2.jpg
13708,Caderno Capa Emborrachada,Caderno emborrachado de frente e verso lisa com espiral preto.,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/caderno-capa-emborrachada-13708-vd,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/13708/13708_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,caderneta-caneta,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/13708/13708_2.jpg
14728P,Caderneta Percalux,"Caderneta em percalux com porta caneta, marcador de página em cetim e fita elástica para fechar. Contém aproximadamente 80 folhas com pauta.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/categoria/cadernetas,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14728P-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,cadernetas,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14728P-2-v1.jpg
10889,Kit Executivo Caderneta + Caneta,"Kit executivo 2 peças em estojo de papelão com tampa e parte interna revestida de espuma. Contém: caneta metal preta com anel, detalhes em prata e escrita preta caderneta emborrachada com aproximadamente 80 folhas amarelas com pauta. Acompanha placa metálica para gravação.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/kit-caneta-e-caderneta-tipo-moleskine-10889-pre,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/10889-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,cadernetas,,,
08103,Caneta Metal Touch,"Para anotar cada detalhe com elegância. Nossa Caneta Metálica Touchscreen une sofisticação e praticidade em cada movimento. Com seu acabamento brilhante e acionamento por clique, ela possui carga esferográfica azul de 1.0mm, garantindo uma escrita precisa. Além disso, com a ponta touchscreen é possível utilizá-la em dispositivos eletrônicos sem tocar diretamente na tela, evitando manchas indesejadas.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/caneta-metal-touch-08103-vm,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08103-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,canetas,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08103-2-v1.jpg
19029,Kit Executivo 2 Peças,Kit executivo composto por uma caderneta e uma caneta.,in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/kit-executivo-2-pecas-19029-vd,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/19029/19029_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,caderneta-caneta,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/19029/19029_2.jpg
07048,Kit Executivo Ecológico 3 Peças,"Kit executivo ecológico 3 peças em estojo de papelão. Contém: chaveiro de bambu com detalhe em metal, caderneta em bambu, capa dura, com aproximadamente 65 folhas brancas pautadas, caneta de bambu com clipe metálico, elástico para lacre e suporte para caneta em nylon.",in stock,new,100.00 BRL,https://giftwebbrindes.com.br/produto/kit-executivo-ecologico-3-pecas-07048-pre,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/07048-1-v1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,kit-executivo,,,
